street_name,postal_code,zone_name,latitude,longitude,full_address
Siaka Stevens Street,1102,Siaka Stevens,8.4770,-13.2260,"Siaka Stevens Street, Siaka Stevens, 1102"
Lamina Sankoh Street,1102,Siaka Stevens,8.4768,-13.2258,"Lamina Sankoh Street, Siaka Stevens, 1102"
Ecowas Street,1102,Siaka Stevens,8.4772,-13.2262,"Ecowas Street, Siaka Stevens, 1102"
Bank of Sierra Leone Road,1102,Siaka Stevens,8.4774,-13.2264,"Bank of Sierra Leone Road, Siaka Stevens, 1102"
Cotton Tree Junction,1102,Siaka Stevens,8.4766,-13.2256,"Cotton Tree Junction, Siaka Stevens, 1102"
Independence Avenue,1102,Siaka Stevens,8.4776,-13.2266,"Independence Avenue, Siaka Stevens, 1102"
Tower Hill,1101,Tower Hill,8.4820,-13.2285,"Tower Hill, Tower Hill, 1101"
Tower Hill Road,1101,Tower Hill,8.4822,-13.2287,"Tower Hill Road, Tower Hill, 1101"
State House Road,1101,Tower Hill,8.4825,-13.2290,"State House Road, Tower Hill, 1101"
Law Court Building Road,1101,Tower Hill,8.4815,-13.2282,"Law Court Building Road, Tower Hill, 1101"
Parliament Building Road,1101,Tower Hill,8.4828,-13.2292,"Parliament Building Road, Tower Hill, 1101"
Supreme Court Road,1101,Tower Hill,8.4818,-13.2284,"Supreme Court Road, Tower Hill, 1101"
Government House Road,1101,Tower Hill,8.4830,-13.2295,"Government House Road, Tower Hill, 1101"
Attorney General Road,1101,Tower Hill,8.4812,-13.2280,"Attorney General Road, Tower Hill, 1101"
Ministry of Finance Road,1101,Tower Hill,8.4832,-13.2298,"Ministry of Finance Road, Tower Hill, 1101"
Treasury Building Road,1101,Tower Hill,8.4835,-13.2300,"Treasury Building Road, Tower Hill, 1101"
Central Freetown Road,1100,Central Freetown,8.4787,-13.2283,"Central Freetown Road, Central Freetown, 1100"
CBD Main Road,1100,Central Freetown,8.4790,-13.2285,"CBD Main Road, Central Freetown, 1100"
City Centre Road,1100,Central Freetown,8.4785,-13.2280,"City Centre Road, Central Freetown, 1100"
Downtown Freetown Road,1100,Central Freetown,8.4792,-13.2288,"Downtown Freetown Road, Central Freetown, 1100"
Commercial District Road,1100,Central Freetown,8.4795,-13.2290,"Commercial District Road, Central Freetown, 1100"
Central Market Road,1100,Central Freetown,8.4782,-13.2278,"Central Market Road, Central Freetown, 1100"
Rawdon Street,1152,Rawdon Street,8.4785,-13.2295,"Rawdon Street, Rawdon Street, 1152"
Rawdon Street Junction,1152,Rawdon Street,8.4787,-13.2297,"Rawdon Street Junction, Rawdon Street, 1152"
Rawdon Street Upper,1152,Rawdon Street,8.4790,-13.2300,"Rawdon Street Upper, Rawdon Street, 1152"
Rawdon Street Lower,1152,Rawdon Street,8.4782,-13.2292,"Rawdon Street Lower, Rawdon Street, 1152"
Lightfoot Boston Street,1153,Lightfoot Boston,8.4792,-13.2270,"Lightfoot Boston Street, Lightfoot Boston, 1153"
Lightfoot Boston Junction,1153,Lightfoot Boston,8.4794,-13.2272,"Lightfoot Boston Junction, Lightfoot Boston, 1153"
Lightfoot Boston Upper,1153,Lightfoot Boston,8.4796,-13.2274,"Lightfoot Boston Upper, Lightfoot Boston, 1153"
Lightfoot Boston Lower,1153,Lightfoot Boston,8.4790,-13.2268,"Lightfoot Boston Lower, Lightfoot Boston, 1153"
Gloucester Street,1154,Gloucester Street,8.4780,-13.2255,"Gloucester Street, Gloucester Street, 1154"
Gloucester Street Junction,1154,Gloucester Street,8.4782,-13.2257,"Gloucester Street Junction, Gloucester Street, 1154"
Gloucester Street Upper,1154,Gloucester Street,8.4784,-13.2259,"Gloucester Street Upper, Gloucester Street, 1154"
Gloucester Street Lower,1154,Gloucester Street,8.4778,-13.2253,"Gloucester Street Lower, Gloucester Street, 1154"
Howe Street,1155,Howe Street,8.4775,-13.2240,"Howe Street, Howe Street, 1155"
Howe Street Junction,1155,Howe Street,8.4777,-13.2242,"Howe Street Junction, Howe Street, 1155"
Howe Street Upper,1155,Howe Street,8.4779,-13.2244,"Howe Street Upper, Howe Street, 1155"
Howe Street Lower,1155,Howe Street,8.4773,-13.2238,"Howe Street Lower, Howe Street, 1155"
Westmoreland Street,1156,Westmoreland,8.4775,-13.2278,"Westmoreland Street, Westmoreland, 1156"
Westmoreland Junction,1156,Westmoreland,8.4777,-13.2280,"Westmoreland Junction, Westmoreland, 1156"
Westmoreland Upper,1156,Westmoreland,8.4779,-13.2282,"Westmoreland Upper, Westmoreland, 1156"
Westmoreland Lower,1156,Westmoreland,8.4773,-13.2276,"Westmoreland Lower, Westmoreland, 1156"
George Street,1157,George Street,8.4782,-13.2272,"George Street, George Street, 1157"
George Street Junction,1157,George Street,8.4784,-13.2274,"George Street Junction, George Street, 1157"
George Street Upper,1157,George Street,8.4786,-13.2276,"George Street Upper, George Street, 1157"
George Street Lower,1157,George Street,8.4780,-13.2270,"George Street Lower, George Street, 1157"
Charlotte Street,1158,Charlotte Street,8.4765,-13.2275,"Charlotte Street, Charlotte Street, 1158"
Charlotte Street Junction,1158,Charlotte Street,8.4767,-13.2277,"Charlotte Street Junction, Charlotte Street, 1158"
Charlotte Street Upper,1158,Charlotte Street,8.4769,-13.2279,"Charlotte Street Upper, Charlotte Street, 1158"
Charlotte Street Lower,1158,Charlotte Street,8.4763,-13.2273,"Charlotte Street Lower, Charlotte Street, 1158"
Garrison Street,1159,Garrison Street,8.4760,-13.2265,"Garrison Street, Garrison Street, 1159"
Garrison Street Junction,1159,Garrison Street,8.4762,-13.2267,"Garrison Street Junction, Garrison Street, 1159"
Garrison Street Upper,1159,Garrison Street,8.4764,-13.2269,"Garrison Street Upper, Garrison Street, 1159"
Garrison Street Lower,1159,Garrison Street,8.4758,-13.2263,"Garrison Street Lower, Garrison Street, 1159"
Wallace Johnson Street,1160,Wallace Johnson,8.4790,-13.2310,"Wallace Johnson Street, Wallace Johnson, 1160"
Wallace Johnson Junction,1160,Wallace Johnson,8.4792,-13.2312,"Wallace Johnson Junction, Wallace Johnson, 1160"
Wallace Johnson Upper,1160,Wallace Johnson,8.4794,-13.2314,"Wallace Johnson Upper, Wallace Johnson, 1160"
Wallace Johnson Lower,1160,Wallace Johnson,8.4788,-13.2308,"Wallace Johnson Lower, Wallace Johnson, 1160"
Walpole Street,1161,Walpole Street,8.4782,-13.2305,"Walpole Street, Walpole Street, 1161"
Walpole Street Junction,1161,Walpole Street,8.4784,-13.2307,"Walpole Street Junction, Walpole Street, 1161"
Walpole Street Upper,1161,Walpole Street,8.4786,-13.2309,"Walpole Street Upper, Walpole Street, 1161"
Walpole Street Lower,1161,Walpole Street,8.4780,-13.2303,"Walpole Street Lower, Walpole Street, 1161"
Sanders Street,1162,Sanders Street,8.4778,-13.2268,"Sanders Street, Sanders Street, 1162"
Sanders Street Junction,1162,Sanders Street,8.4780,-13.2270,"Sanders Street Junction, Sanders Street, 1162"
Sanders Street Upper,1162,Sanders Street,8.4782,-13.2272,"Sanders Street Upper, Sanders Street, 1162"
Sanders Street Lower,1162,Sanders Street,8.4776,-13.2266,"Sanders Street Lower, Sanders Street, 1162"
Liverpool Street,1163,Liverpool Street,8.4772,-13.2262,"Liverpool Street, Liverpool Street, 1163"
Liverpool Street Junction,1163,Liverpool Street,8.4774,-13.2264,"Liverpool Street Junction, Liverpool Street, 1163"
Liverpool Street Upper,1163,Liverpool Street,8.4776,-13.2266,"Liverpool Street Upper, Liverpool Street, 1163"
Liverpool Street Lower,1163,Liverpool Street,8.4770,-13.2260,"Liverpool Street Lower, Liverpool Street, 1163"
Oxford Street,1164,Oxford Street,8.4748,-13.2242,"Oxford Street, Oxford Street, 1164"
Oxford Street Junction,1164,Oxford Street,8.4750,-13.2244,"Oxford Street Junction, Oxford Street, 1164"
Oxford Street Upper,1164,Oxford Street,8.4752,-13.2246,"Oxford Street Upper, Oxford Street, 1164"
Oxford Street Lower,1164,Oxford Street,8.4746,-13.2240,"Oxford Street Lower, Oxford Street, 1164"
Pademba Road,1165,Pademba Road,8.4810,-13.2300,"Pademba Road, Pademba Road, 1165"
Pademba Road Junction,1165,Pademba Road,8.4812,-13.2302,"Pademba Road Junction, Pademba Road, 1165"
Pademba Road Upper,1165,Pademba Road,8.4815,-13.2305,"Pademba Road Upper, Pademba Road, 1165"
Pademba Road Lower,1165,Pademba Road,8.4808,-13.2298,"Pademba Road Lower, Pademba Road, 1165"
Pademba Road Prison Junction,1165,Pademba Road,8.4818,-13.2308,"Pademba Road Prison Junction, Pademba Road, 1165"
Campbell Street,1185,Campbell Street,8.4760,-13.2285,"Campbell Street, Campbell Street, 1185"
Campbell Street Junction,1185,Campbell Street,8.4762,-13.2287,"Campbell Street Junction, Campbell Street, 1185"
Campbell Street Upper,1185,Campbell Street,8.4764,-13.2289,"Campbell Street Upper, Campbell Street, 1185"
Campbell Street Lower,1185,Campbell Street,8.4758,-13.2283,"Campbell Street Lower, Campbell Street, 1185"
Bath Street,1186,Bath Street,8.4765,-13.2282,"Bath Street, Bath Street, 1186"
Bath Street Junction,1186,Bath Street,8.4767,-13.2284,"Bath Street Junction, Bath Street, 1186"
Bath Street Upper,1186,Bath Street,8.4769,-13.2286,"Bath Street Upper, Bath Street, 1186"
Bath Street Lower,1186,Bath Street,8.4763,-13.2280,"Bath Street Lower, Bath Street, 1186"
Martin Street,1187,Martin Street,8.4770,-13.2280,"Martin Street, Martin Street, 1187"
Martin Street Junction,1187,Martin Street,8.4772,-13.2282,"Martin Street Junction, Martin Street, 1187"
Martin Street Upper,1187,Martin Street,8.4774,-13.2284,"Martin Street Upper, Martin Street, 1187"
Martin Street Lower,1187,Martin Street,8.4768,-13.2278,"Martin Street Lower, Martin Street, 1187"
Percival Street,1188,Percival Street,8.4763,-13.2252,"Percival Street, Percival Street, 1188"
Percival Street Junction,1188,Percival Street,8.4765,-13.2254,"Percival Street Junction, Percival Street, 1188"
Percival Street Upper,1188,Percival Street,8.4767,-13.2256,"Percival Street Upper, Percival Street, 1188"
Percival Street Lower,1188,Percival Street,8.4761,-13.2250,"Percival Street Lower, Percival Street, 1188"
Soldier Street,1189,Soldier Street,8.4748,-13.2242,"Soldier Street, Soldier Street, 1189"
Soldier Street Junction,1189,Soldier Street,8.4750,-13.2244,"Soldier Street Junction, Soldier Street, 1189"
Soldier Street Upper,1189,Soldier Street,8.4752,-13.2246,"Soldier Street Upper, Soldier Street, 1189"
Soldier Street Lower,1189,Soldier Street,8.4746,-13.2240,"Soldier Street Lower, Soldier Street, 1189"
Daniel Street,1190,Daniel Street,8.4758,-13.2248,"Daniel Street, Daniel Street, 1190"
